pid,season,position,gp,war_indiv
8482125,2021,R,9,0.028
8478029,2021,L,2,-0.023
8482133,2021,C,8,0.221
8478038,2021,D,86,3.015
8478039,2021,G,36,0
8478040,2021,R,16,-0.184
8478042,2021,L,66,2.376
8478043,2021,C,56,0.198
8478046,2021,L,83,1.25
8478047,2021,L,85,2.984
8482142,2021,D,81,1.124
8478048,2021,G,73,0
8478051,2021,C,41,-0.117
8482148,2021,C,6,0.024
8482149,2021,C,18,0.192
8482150,2021,R,1,-0.024
8478055,2021,D,81,1.803
8478056,2021,C,9,-0.017
8478057,2021,C,31,0.282
8478058,2021,L,3,-0.03
8478062,2021,D,67,0
8478067,2021,L,79,0.65
8478074,2021,C,4,-0.043
8478075,2021,L,58,-0.203
8482175,2021,R,2,-0.027
8473986,2021,L,105,2.209
8473994,2021,L,89,1.364
8482192,2021,D,4,-0.013
8478099,2021,R,21,0.032
8482197,2021,R,5,-0.056
8478104,2021,L,14,0.028
8474009,2021,C,80,0.471
8478106,2021,R,5,0.018
8478109,2021,L,72,1.924
8474013,2021,D,89,0.393
8478115,2021,L,85,1.138
8474027,2021,D,88,0.266
8482222,2021,L,70,1.182
8474031,2021,D,82,1.323
8474034,2021,L,104,0.723
8478131,2021,R,57,1.208
8478133,2021,C,72,1.254
8474037,2021,L,82,1.545
8474038,2021,L,27,0.151
8474040,2021,C,81,1.146
8478136,2021,D,72,0.42
8482241,2021,L,17,0.127
8478146,2021,C,46,0.119
8482243,2021,R,1,-0.005
8481553,2021,R,10,0.091
8482245,2021,D,81,0.348
8474053,2021,C,77,2.854
8478147,2021,L,4,0.035
8474056,2021,D,77,0.559
8474062,2021,C,57,-0.077
8474066,2021,D,2,-0.005
8474068,2021,C,23,0.1
8478173,2021,R,6,0.091
8478178,2021,D,4,-0.013
8474089,2021,C,10,0.02
8474090,2021,D,59,0.455
8474098,2021,C,35,-0.084
8474102,2021,L,79,2.977
8478211,2021,L,79,-0.052
8478233,2021,L,94,2.774
8474141,2021,R,78,4.044
8474145,2021,D,83,-0.127
8474149,2021,L,78,1.728
8474150,2021,C,94,1.861
8474151,2021,D,94,0.796
8478250,2021,L,4,0.017
8474157,2021,L,39,1.737
8474161,2021,R,79,2.313
8474162,2021,D,54,0.594
8474166,2021,D,26,0.208
8474176,2021,L,53,0.069
8474189,2021,C,78,1.197
8474190,2021,R,74,0.332
8474207,2021,D,76,0.461
8482408,2021,L,1,-0.007
8478366,2021,R,91,1.566
8482475,2021,R,62,0.225
8474291,2021,C,33,-0.222
8478396,2021,D,93,2.172
8478397,2021,D,94,2.192
8478398,2021,L,79,4.591
8478399,2021,D,70,0.305
8478400,2021,C,24,0.381
8478401,2021,C,70,1.183
8478402,2021,C,96,8.482
8478403,2021,C,34,1.021
8478406,2021,G,25,0
8478407,2021,D,73,1.282
8478408,2021,D,60,0.075
8478413,2021,L,68,0.84
8478414,2021,R,77,3.406
8478415,2021,D,10,0.128
8478416,2021,D,78,0.245
8478420,2021,R,95,5.358
8478421,2021,L,9,0.1
8478424,2021,C,77,0.076
8478425,2021,D,6,-0.058
8466138,2021,C,35,0.134
8478427,2021,C,93,3.804
8478430,2021,D,85,1.455
8478431,2021,L,72,0.297
8478432,2021,R,53,-0.03
8478433,2021,G,5,0
8478434,2021,R,77,0.42
8478435,2021,G,24,0
8478438,2021,C,27,0.009
8478439,2021,R,79,2.066
8478440,2021,C,69,1.139
8478442,2021,C,1,0.052
8478443,2021,D,86,0.507
8478444,2021,R,71,1.897
8478445,2021,C,73,2.264
8478446,2021,C,2,-0.024
8478447,2021,R,9,0.048
8478449,2021,C,86,3.206
8478451,2021,D,58,0.472
8478452,2021,D,51,0.554
8478454,2021,D,8,0.076
8478458,2021,C,81,1.292
8478460,2021,D,68,2.116
8478462,2021,C,78,1.742
8478463,2021,R,75,0.978
8478465,2021,D,1,0
8478466,2021,R,63,0.753
8478467,2021,D,50,-0.08
8478468,2021,D,69,-0.109
8478469,2021,D,59,1.658
8478470,2021,G,38,0
8478472,2021,R,69,0.839
8470281,2021,D,80,0.843
8478474,2021,L,65,0.931
8478476,2021,D,45,0.115
8478477,2021,C,27,0.029
8478480,2021,C,2,-0.027
8478483,2021,R,79,4.793
8478485,2021,R,2,-0.02
8478486,2021,C,3,-0.002
8478491,2021,D,6,-0.006
8478492,2021,G,49,0
8478493,2021,C,83,2.287
8478495,2021,R,78,0.933
8478498,2021,L,84,1.938
8478499,2021,G,25,0
8478500,2021,D,79,0.998
8478506,2021,D,38,0.263
8478507,2021,D,88,0.696
8478508,2021,C,84,0.454
8478512,2021,C,17,0.211
8478519,2021,C,99,1.444
8478528,2021,C,23,-0.082
8482624,2021,D,11,0.031
8482634,2021,C,3,0.051
8482635,2021,L,21,-0.144
8478542,2021,C,89,2.053
8482641,2021,D,10,0.092
8478550,2021,L,95,4.67
8482652,2021,R,1,-0.012
8482654,2021,C,11,-0.039
8482655,2021,D,43,0.481
8482660,2021,C,9,0.005
8478567,2021,D,41,0.31
8478569,2021,C,29,0.227
8482665,2021,C,10,0.361
8482667,2021,L,9,0.108
8482671,2021,D,8,0.095
8478585,2021,C,90,0.913
8482705,2021,C,79,0.967
8482745,2021,C,9,0.073
8474563,2021,D,39,1.463
8474564,2021,C,104,5.636
8474565,2021,D,80,1.798
8474567,2021,D,70,0.186
8474568,2021,D,66,0.525
8474573,2021,R,74,1.138
8474574,2021,D,82,0.223
8474578,2021,D,50,1.631
8474584,2021,D,26,0.415
8474586,2021,R,79,1.364
8474589,2021,R,57,0.675
8474590,2021,D,84,3.771
8474593,2021,G,75,0
8474596,2021,G,35,0
8474600,2021,D,84,4.88
8474602,2021,D,80,0.784
8474610,2021,C,1,-0.006
8474612,2021,D,43,0.254
8474613,2021,C,61,0.897
8474618,2021,D,74,0.206
8482815,2021,C,3,-0.048
8474628,2022,D,48,0.289
8482821,2022,G,15,0
8482824,2022,D,16,0.098
8474636,2022,G,16,0
8474641,2022,C,62,1.464
8482834,2022,R,15,0.068
8482861,2022,D,3,0.033
8474673,2022,D,69,0.293
8474679,2022,R,57,1.014
8474682,2022,G,4,0
8474683,2022,C,46,0.751
8470594,2022,G,48,0
8470595,2022,C,93,0.963
8470600,2022,D,101,0.596
8474697,2022,D,4,-0.025
8470604,2022,C,79,1.036
8470610,2022,L,88,1.289
8470613,2022,D,97,2.739
8474709,2022,L,87,0.032
8474716,2022,D,85,1.254
8470621,2022,R,87,0.93
8470638,2022,C,81,2.469
8478831,2022,C,59,0.436
8478840,2022,D,96,0.594
8478841,2022,D,46,0.002
8478843,2022,C,72,0.616
8478846,2022,D,16,0.04
8478851,2022,D,43,0.21
8478856,2022,R,81,1.493
8478859,2022,D,88,-0.331
8478864,2022,L,73,3.865
8482964,2022,D,51,0.339
8478870,2022,L,17,0.206
8478872,2022,G,50,0
8478873,2022,R,70,2.743
8478881,2022,L,7,-0.051
8478882,2022,D,78,0.329
8482982,2022,G,1,0
8478891,2022,C,46,0.256
8478902,2022,G,10,0
8478904,2022,C,80,0.529
8478911,2022,D,88,1.088
8474818,2022,D,12,0.088
8478916,2022,G,5,0
8474870,2022,C,56,1.069
8478967,2022,C,27,0.093
8478970,2022,D,93,0.502
8478971,2022,G,27,0
8478975,2022,L,86,0.985
8474884,2022,C,67,0.966
8474889,2022,G,49,0
8470794,2022,C,96,3.975
8479026,2022,D,11,0.121
8470860,2022,G,25,0
8483158,2022,G,1,0
8479066,2022,L,95,0.278
8470880,2022,G,22,0
8483183,2022,G,1,0
8470966,2022,D,89,0.631
8479193,2022,G,38,0
8475149,2022,L,86,1.573
8475151,2022,C,61,1.419
8479252,2022,D,1,0.003
8475158,2022,C,64,1.462
8475160,2022,L,2,0.029
8475163,2022,R,20,0.351
8475164,2022,R,81,0.227
8475166,2022,C,91,3.822
8475167,2022,D,81,2.019
8475168,2022,C,71,2.122
8475169,2022,L,53,1.178
8475170,2022,C,82,2.178
8475171,2022,D,54,0.54
8475172,2022,C,82,2.025
8475177,2022,D,53,0.352
8475178,2022,R,51,-0.384
8475179,2022,D,67,0.313
8475181,2022,D,78,0.398
8475184,2022,L,86,2.845
8475188,2022,D,103,0.352
8475191,2022,R,100,2.895
8475193,2022,L,94,2.017
8479291,2022,C,17,-0.082
8479292,2022,G,31,0
8479293,2022,L,96,1.197
8475197,2022,D,85,2.271
8475200,2022,D,73,1.769
8483397,2022,C,2,-0.028
8475208,2022,D,82,0.696
8479304,2022,C,1,0.061
8479312,2022,G,19,0
8475218,2022,D,90,1.246
8479314,2022,L,99,6.825
8479316,2022,C,31,0.238
8475220,2022,L,71,0.098
8479318,2022,C,85,4.928
8479315,2022,R,38,0.13
8479320,2022,D,3,-0.015
8475225,2022,C,64,0.288
8479322,2022,R,60,0.037
8479323,2022,D,89,3.33
8479324,2022,D,70,0.577
8475227,2022,D,46,-0.116
8479321,2022,D,2,-0.001
8475231,2022,C,87,0.741
8479328,2022,R,57,0.374
8475233,2022,D,62,0.415
8479325,2022,D,74,2.334
8475235,2022,L,80,-0.325
8483424,2022,C,1,-0.016
8479333,2022,D,16,-0.045
8479329,2022,D,3,-0.016
8479335,2022,C,46,0.013
8479336,2022,R,63,0.475
8479337,2022,R,82,2.83
8479338,2022,D,23,-0.034
8479339,2022,L,55,2.117
8479343,2022,R,82,3.501
8479344,2022,R,82,0.051
8479345,2022,D,48,1.501
8479346,2022,C,82,1.638
8479347,2022,L,2,-0.018
8479348,2022,D,33,-0.053
8479351,2022,C,70,0.727
8479353,2022,C,76,0.229
8479356,2022,L,28,-0.119
8479359,2022,L,9,-0.027
8479361,2022,G,11,0
8479362,2022,L,3,-0.03
8483460,2022,D,4,-0.036
8479365,2022,C,84,0.938
8479366,2022,C,30,-0.092
8479367,2022,R,13,-0.087
8483464,2022,C,1,-0.018
8479368,2022,L,69,0.274
8479369,2022,D,80,-0.044
8479370,2022,C,71,0.764
8479371,2022,D,79,0.058
8479372,2022,D,103,0.395
8475278,2022,C,9,0.071
8475279,2022,D,76,0.347
8479376,2022,D,11,0.029
8479375,2022,C,4,0.008
8479378,2022,D,20,-0.033
8479379,2022,R,37,-0.079
8479380,2022,G,1,0
8475287,2022,L,92,1.447
8479383,2022,L,58,0.12
8479385,2022,R,79,3.189
8479388,2022,D,50,0.014
8479390,2022,R,78,1.048
8479393,2022,L,57,0.338
8479394,2022,G,55,0
8479395,2022,D,2,-0.029
8479398,2022,D,83,1.332
8479400,2022,C,78,2.488
8479402,2022,D,14,0.205
8479404,2022,C,1,-0.008
8479406,2022,G,44,0
8471214,2022,L,73,3.307
8475311,2022,G,57,0
8471215,2022,C,82,3.558
8479410,2022,D,85,2.661
8479407,2022,L,94,3.264
8475314,2022,L,88,2.189
8471218,2022,R,77,2.141
8479414,2022,R,55,0.514
8479415,2022,C,92,1.186
8483515,2022,L,39,-0.036
8475324,2022,D,77,0.981
8479420,2022,C,78,4.783
8479421,2022,D,2,-0.007
8479423,2022,L,9,0.016
8479425,2022,D,64,1.399
8483524,2022,C,8,0.064
8483530,2022,G,6,0
8475343,2022,C,65,1.505
8479439,2022,D,58,0.163
8479442,2022,D,81,0.151
8483549,2022,L,1,0.077
8479458,2022,D,46,0.081
8479465,2022,L,4,-0.019
8471274,2022,D,46,-0.098
8471276,2022,C,74,2.002
8483565,2022,D,36,0.484
8483570,2022,C,45,-0.008
8483575,2022,G,3,0
8471303,2022,D,68,0.121
8479496,2022,G,21,0
8471306,2022,G,21,0
8483597,2022,L,14,-0.078
8479514,2022,C,46,0.207
8479518,2022,C,5,-0.052
8479520,2022,L,57,0.025
8483619,2022,D,17,0.059
8479523,2022,D,2,-0.008
8479525,2022,C,87,1.233
8479526,2022,L,8,0.057
8483620,2022,D,33,0.226
8479533,2022,L,5,0.002
8483630,2022,L,14,0.08
8479536,2022,L,51,0.239
8479542,2022,L,87,2.71
8479543,2022,L,63,0.167
8483641,2022,L,2,-0.021
8479546,2022,C,3,0.066
8479547,2022,R,2,-0.026
8479550,2022,C,32,-0.097
8475455,2022,D,87,0.431
8475461,2022,L,4,0.135
8475462,2022,D,93,0.65
8479573,2022,L,5,-0.03
8479576,2022,D,48,0.123
8479578,2022,D,29,0.004
8479580,2022,C,60,-0.147
8479591,2022,C,57,0.391
8481591,2022,R,3,0.016
8479602,2022,D,1,-0.013
8481592,2022,L,24,0.221
8471418,2022,G,1,0
8479619,2022,L,9,0.091
8481598,2022,D,55,0.214
8479639,2022,D,17,0.07
8481600,2022,D,10,0.017
8479644,2022,R,19,0.047
8479661,2022,L,79,-0.011
8479671,2022,R,66,-0.002
8479675,2022,L,65,1.148
8479705,2022,L,4,-0.007
8483808,2022,L,81,3.401
8479718,2022,C,1,0.002
8475625,2022,D,61,0.022
8475660,2022,G,36,0
8479772,2022,R,57,-0.248
8475683,2022,G,69,0
8475690,2022,D,65,0.15
8475692,2022,R,84,3.005
8475714,2022,C,84,1.229
8475718,2022,D,88,0.432
8475722,2022,L,78,1.849
8475726,2022,C,82,3.434
8475744,2022,C,81,1.989
8475745,2022,C,89,1.685
8475747,2022,D,75,-0.371
8475750,2022,D,75,0.182
8475752,2022,C,61,0.275
8475753,2022,D,82,1.931
8475754,2022,C,88,3.331
8475760,2022,C,90,1.546
8475762,2022,D,61,0.234
8475763,2022,R,81,1.533
8475764,2022,D,82,1.612
8471669,2022,C,88,0.411
8475766,2022,L,75,-0.141
8475765,2022,R,76,2.303
8475768,2022,L,85,1.606
8471675,2022,C,82,3.044
8475772,2022,C,2,-0.035
8471677,2022,D,86,-0.306
8475780,2022,R,1,-0.019
8471685,2022,C,88,2.639
8471686,2022,D,103,-0.069
8475784,2022,L,79,3.678
8475786,2022,L,91,5.032
8475789,2022,G,40,0
8475790,2022,D,70,0.135
8475791,2022,L,68,1.932
8475793,2022,C,55,0.502
8471698,2022,R,58,1.13
8471699,2022,C,83,0.13
8475794,2022,C,95,2.376
8475797,2022,D,44,0.107
8475798,2022,C,79,1.278
8475799,2022,R,83,1.699
8475795,2022,D,6,0.005
8471709,2022,D,78,0.299
8475809,2022,G,24,0
8475810,2022,R,81,1.693
8471724,2022,D,64,1.618
8475825,2022,D,97,0.394
8471734,2022,G,41,0
8475831,2022,G,53,0
8475842,2022,C,52,-0.1
8479941,2022,R,6,0.107
8475848,2022,R,37,0.41
8479944,2022,L,83,-0.04
8479945,2022,D,51,0.416
8475852,2022,G,39,0
8475855,2022,R,95,0.79
8475857,2022,D,23,-0.083
8471774,2022,G,27,0
8479968,2022,C,1,-0.01
8479972,2022,C,59,0.256
8479973,2022,G,62,0
8479976,2022,D,78,1.19
8479977,2022,R,70,0.79
8479979,2022,G,81,0
8479980,2022,D,103,0.594
8475883,2022,G,43,0
8479981,2022,L,35,0.027
8479983,2022,D,72,0.024
8479984,2022,D,50,0
8479985,2022,D,12,-0.021
8471794,2022,C,12,-0.083
8479982,2022,D,27,0.55
8479987,2022,C,82,1.176
8479991,2022,C,35,-0.35
8479992,2022,C,56,0.994
8479994,2022,C,50,0.171
8479996,2022,C,72,1.141
8479998,2022,D,83,0.379
8479999,2022,C,82,1.875
8480001,2022,D,23,-0.071
8480002,2022,C,93,4.07
8475906,2022,D,71,1.319
8480003,2022,C,76,0.378
8480007,2022,R,13,-0.042
8480008,2022,C,44,0.571
8480009,2022,R,75,1.065
8471817,2022,R,79,-0.009
8480011,2022,C,69,0.743
8475913,2022,R,65,3.127
8480012,2022,C,80,4.979
8480014,2022,C,68,2.025
8480015,2022,R,77,1.824
8480018,2022,C,82,2.286
8480021,2022,C,48,-0.046
8480023,2022,C,73,2.151
8480025,2022,R,66,-0.324
8480027,2022,L,101,6.241
8480028,2022,C,81,1.483
8484125,2022,C,12,-0.066
8480031,2022,L,64,0.073
8480032,2022,C,1,0.005
8480034,2022,L,2,0.025
8480035,2022,D,60,-0.058
8480036,2022,D,98,3.445
8480037,2022,C,10,0.091
8480039,2022,C,97,2.882
8480041,2022,D,2,-0.021
8480042,2022,G,1,0
8480043,2022,D,72,0.457
8480045,2022,G,33,0
8480049,2022,D,68,-0.093
8480051,2022,G,3,0
8480056,2022,D,11,0.031
8480058,2022,D,75,0.605
8475968,2022,R,31,0.441
8480064,2022,C,8,0.129
8471873,2022,D,8,-0.072
8480068,2022,C,53,0.755
8480069,2022,D,66,3.201
8480070,2022,D,35,0.133
8480071,2022,D,11,0.15
8480072,2022,C,1,-0.01
8480073,2022,D,74,0.457
8480078,2022,C,81,1.787
8471887,2022,R,22,0.141
8480084,2022,D,4,-0.021
8480113,2022,L,65,1.505
8480144,2022,C,93,1.442
8480145,2022,D,87,1.435
8480157,2022,D,49,0.59
8484254,2022,D,7,0.084
8480160,2022,D,44,-0.028
8484256,2022,D,5,-0.001
8480172,2022,D,56,-0.044
8480184,2022,D,36,0.09
8480185,2022,C,98,1.328
8480188,2022,L,67,0.617
8484287,2022,D,5,0.045
8480192,2022,D,77,0.291
8480193,2022,G,17,0
8480196,2022,D,59,0.074
8480199,2022,G,2,0
8480205,2022,C,55,0.716
8480208,2022,R,82,2.652
8480216,2022,C,12,0.272
8480220,2022,L,82,1.192
8480222,2022,D,77,0.69
8480226,2022,R,3,-0.002
8467950,2022,G,26,0
8480238,2022,G,2,0
8480242,2022,L,4,-0.016
8480245,2022,R,8,-0.051
8480246,2022,D,75,0.84
8480252,2022,C,14,0.141
8476166,2022,D,4,-0.008
8480263,2022,G,2,0
8480267,2022,C,9,0.077
8480275,2022,R,1,-0.013
8480280,2022,G,39,0
8480281,2022,R,69,0.326
8480289,2022,C,75,0.503
8480292,2022,R,14,-0.027
8480313,2022,G,37,0
8480326,2022,C,63,0.301
8480328,2022,R,4,-0.004
8476234,2022,G,2,0
8480336,2022,D,72,0.333
8480355,2022,C,65,0.533
8476278,2022,C,53,0.021
8480382,2022,G,69,0
8476292,2022,L,61,0.934
8476310,2022,C,30,0.271
8476312,2022,D,32,0.307
8476316,2022,G,19,0
8480420,2022,G,20,0
8476326,2022,R,62,0.168
8476329,2022,C,82,0.71
8476331,2022,D,80,0.886
8480434,2022,D,78,1.385
8476341,2022,G,28,0
8480439,2022,D,6,0.076
8480441,2022,R,9,-0.003
8476346,2022,L,80,3.072
8480443,2022,C,2,0.031
8480448,2022,C,55,-0.422
8480459,2022,C,79,0.525
8480467,2022,D,5,-0.042
8476372,2022,D,77,0.381
8480468,2022,L,10,-0.091
8476374,2022,C,71,0.852
8476389,2022,C,89,1.999
8476390,2022,C,4,0.015
8476392,2022,C,87,1.652
8476393,2022,C,100,0.839
8476396,2022,C,2,-0.021
8476399,2022,L,82,1.344
8476404,2022,C,3,0.012
8476410,2022,L,51,0.38
8476412,2022,G,61,0
8476419,2022,C,76,1.229
8476422,2022,D,10,-0.003
8476429,2022,D,88,0.551
8476432,2022,C,68,1.718
8476433,2022,G,18,0
8476434,2022,G,53,0
8476438,2022,L,71,1.193
8476439,2022,R,50,0.218
8476441,2022,D,61,0.166
8476442,2022,L,88,0.355
8476448,2022,C,104,2.633
8476449,2022,D,45,0.171
8476453,2022,R,88,5.204
8476454,2022,C,94,5.504
8476456,2022,L,79,2.134
8476457,2022,D,96,0.983
8476458,2022,C,82,0.893
8476459,2022,C,89,4.476
8476460,2022,C,85,2.488
8476462,2022,D,94,3.379
8476463,2022,D,66,0.058
8476467,2022,D,89,0.708
8476468,2022,C,81,3.346
8476469,2022,R,43,0.238
8476470,2022,D,52,-0.219
8476473,2022,D,80,0.057
8476474,2022,R,93,1.617
8476479,2022,C,88,1.939
8476480,2022,C,82,0.655
8476483,2022,R,82,2.695
8480979,2022,C,4,-0.045
8476525,2022,D,89,0.484
8476539,2022,R,98,3.548
8476624,2022,C,89,0.669
8480727,2022,D,81,0.511
8480748,2022,L,32,0.311
8480762,2022,L,72,0.468
8480776,2022,R,1,-0.013
8480789,2022,R,35,0.374
8480796,2022,D,67,0.596
8480797,2022,L,82,0.89
8480798,2022,C,70,0.35
8480800,2022,D,78,3.048
8480801,2022,L,82,3.478
8480802,2022,C,69,0.672
8480803,2022,D,94,2.376
8480806,2022,C,61,0.089
8480807,2022,D,55,0.036
8480813,2022,C,81,0.024
8480817,2022,D,86,1.42
8480820,2022,D,2,-0.013
8480821,2022,R,30,0.043
8480822,2022,R,36,0.047
8480823,2022,D,32,0.023
8480829,2022,C,97,1.395
8480830,2022,R,64,2.683
8480831,2022,D,4,-0.065
8480833,2022,R,44,0
8480835,2022,C,51,0.268
8480836,2022,L,3,-0.006
8480839,2022,D,78,3.274
8480842,2022,C,2,-0.014
8480843,2022,G,19,0
8480844,2022,L,19,-0.008
8480845,2022,C,72,0.069
8480846,2022,L,6,-0.04
8480848,2022,C,97,0.394
8480849,2022,C,82,1.421
8480853,2022,C,62,0.112
8480855,2022,C,82,0.696
8480860,2022,D,53,0.109
8480863,2022,L,1,-0.016
8480865,2022,D,84,2.127
8480867,2022,G,3,0
8480870,2022,C,2,0.008
8480871,2022,D,46,0.925
8480873,2022,D,71,1.285
8480874,2022,D,1,-0.012
8476779,2022,D,48,0.227
8480878,2022,D,60,0.487
8480879,2022,D,19,-0.072
8480880,2022,C,26,0.235
8480883,2022,D,9,0.17
8480884,2022,D,62,0.984
8480887,2022,D,65,0.442
8476792,2022,D,63,1.322
8480890,2022,C,2,-0.022
8480891,2022,D,9,0.074
8480893,2022,R,59,0.841
8480901,2022,C,1,0.585
8480913,2022,D,15,0.08
8476822,2022,C,87,-0.095
8476826,2022,C,95,1.778
8480925,2022,G,16,0
8480935,2022,D,17,0.082
8476850,2022,D,13,0.081
8480947,2022,G,19,0
8476851,2022,C,11,-0.099
8476853,2022,D,76,2.207
8476854,2022,D,87,2.062
8480950,2022,D,68,0.282
8476856,2022,D,85,-0.156
8476858,2022,L,30,0.288
8476867,2022,C,5,-0.017
8476869,2022,D,96,1.351
8476871,2022,L,14,0.026
8476872,2022,C,78,1.338
8476873,2022,L,50,0.313
8476874,2022,D,78,0.609
8476875,2022,D,48,1.367
8476878,2022,C,80,0.515
8476879,2022,D,92,0.09
8476880,2022,R,33,0.81
8476881,2022,C,79,1.942
8476882,2022,C,74,1.105
8476883,2022,G,66,0
8480980,2022,C,87,0.436
8476885,2022,D,89,1.063
8480977,2022,C,1,-0.017
8476887,2022,L,50,1.757
8476884,2022,D,8,0.017
8476889,2022,C,100,0.275
8480981,2022,G,6,0
8476891,2022,D,79,0.695
8476892,2022,D,79,0.7
8476897,2022,C,68,0.95
8480994,2022,C,1,0.028
8480995,2022,R,37,0.289
8476899,2022,G,26,0
8476902,2022,D,101,0.823
8476903,2022,G,3,0
8476905,2022,C,103,2.207
8476906,2022,D,90,1.673
8476907,2022,L,8,0.002
8481006,2022,D,26,0.035
8476913,2022,C,47,0.18
8476914,2022,G,45,0
8476915,2022,L,51,0.185
8481013,2022,R,67,0.673
8476917,2022,D,67,0.568
8476918,2022,L,88,0.764
8481014,2022,D,80,0.564
8476921,2022,L,97,1.247
8476919,2022,C,36,0.18
8476923,2022,D,93,0.988
8481019,2022,C,49,-0.186
8476925,2022,C,82,1.318
8481020,2022,G,2,0
8476927,2022,C,69,0.659
8476931,2022,D,87,0.786
8476932,2022,G,19,0
8476934,2022,L,75,0.159
8481031,2022,G,7,0
8481032,2022,L,55,0.419
8481033,2022,G,27,0
8481035,2022,G,12,0
8476941,2022,D,1,0.052
8476945,2022,G,69,0
8481043,2022,L,17,-0.085
8476948,2022,L,9,-0.041
8476952,2022,C,5,0.027
8476958,2022,D,91,1.009
8476960,2022,C,81,1.198
8481056,2022,D,8,0.03
8481058,2022,R,37,0.428
8476967,2022,D,94,0.485
8481068,2022,C,78,0.997
8481070,2022,L,1,0.005
8481072,2022,D,59,-0.326
8476979,2022,D,72,1.718
8476981,2022,R,69,1.052
8481077,2022,L,6,-0.026
8476988,2022,D,77,0.598
8476994,2022,C,26,0.291
8481093,2022,L,34,0.799
8476999,2022,G,55,0
8481102,2022,L,5,0.087
8477015,2022,R,4,-0.068
8477018,2022,D,33,0.339
8477021,2022,C,93,0.726
8481122,2022,D,78,-0.168
8477034,2022,D,54,0.265
8481147,2022,C,57,-0.256
8481161,2022,D,24,0.034
8477070,2022,C,56,-0.259
8481167,2022,D,11,0.037
8477073,2022,L,44,-0.035
8481178,2022,D,14,0.125
8481186,2022,R,89,0.234
8477126,2022,C,55,-0.051
8481239,2022,L,9,0.082
8477180,2022,G,4,0
8477210,2022,R,9,0.047
8477220,2022,D,76,0.54
8477244,2022,D,47,-0.089
8477293,2022,G,33,0
8477320,2022,L,14,-0.109
8481422,2022,C,11,-0.04
8477330,2022,L,81,1.668
8477335,2022,D,48,0.074
8481433,2022,L,3,-0.039
8477341,2022,L,13,0.039
8481441,2022,C,12,0.101
8477346,2022,D,81,1.08
8477353,2022,C,69,0.647
8477357,2022,R,69,-0.143
8477359,2022,D,3,0.031
8477361,2022,G,10,0
8481461,2022,D,7,0.029
8477365,2022,D,81,0.819
8477369,2022,D,92,0.361
8477380,2022,C,17,-0.063
8481477,2022,C,74,0.824
8477384,2022,D,68,-0.092
8481481,2022,C,84,1.03
8477392,2022,R,55,0.615
8477401,2022,C,7,0.085
8477402,2022,L,63,2.614
8477404,2022,C,78,3.58
8477406,2022,C,71,0.499
8477407,2022,L,40,0.72
8477409,2022,C,102,3.909
8477416,2022,R,95,1.88
8481517,2022,R,54,-0.154
8481518,2022,L,6,0.01
8481519,2022,G,21,0
8477424,2022,G,64,0
8481521,2022,D,2,0.008
8477425,2022,L,84,0.822
8477426,2022,L,86,0.686
8481524,2022,D,49,1.056
8481523,2022,C,58,1.285
8481522,2022,C,74,0.522
8477429,2022,C,82,1.13
8481528,2022,C,81,2.908
8477433,2022,D,42,0.095
8481527,2022,D,10,0.069
8477435,2022,D,88,0.785
8481532,2022,C,4,-0.033
8481533,2022,C,81,2.274
8481535,2022,L,25,0.164
8481537,2022,D,10,0.01
8481540,2022,R,46,1.671
8481541,2022,D,19,0.046
8477444,2022,L,49,1.383
8481543,2022,C,28,0.287
8481544,2022,G,19,0
8477446,2022,C,32,-0.054
8477447,2022,D,76,2.376
8481542,2022,D,82,1.482
8477450,2022,C,78,0.698
8477451,2022,R,64,1.593
8477454,2022,L,61,0.062
8481550,2022,L,9,-0.059
8477456,2022,L,89,2.167
8481546,2022,D,54,0.521
8481554,2022,R,89,1.324
8477460,2022,C,21,-0.084
8481557,2022,L,87,2.704
8477462,2022,D,38,0.178
8481559,2022,C,90,5.633
8481560,2022,R,58,1.163
8477465,2022,G,47,0
8477464,2022,C,10,0.08
8481563,2022,D,3,0.043
8477467,2022,D,3,-0.007
8477463,2022,D,4,0.042
8477471,2022,D,3,-0.018
8481568,2022,D,6,-0.004
8481567,2022,D,8,0.053
8481572,2022,D,10,-0.003
8477476,2022,L,71,1.973
8477478,2022,L,74,1.119
8481575,2022,D,2,-0.026
8477479,2022,L,57,1.54
8481577,2022,R,31,0.556
8477480,2022,G,19,0
8477482,2022,L,16,-0.011
8477484,2022,G,29,0
8481581,2022,D,25,0.486
8481580,2022,L,6,-0.053
8481582,2022,L,15,0.17
8477488,2022,D,97,0.98
8481585,2022,L,17,-0.093
8477492,2022,C,78,5.784
8477493,2022,C,89,3.639
8477494,2022,L,58,0.709
8477495,2022,D,72,1.495
8477496,2022,C,80,3.054
8477497,2022,C,25,0.653
8477498,2022,D,93,1.702
8477499,2022,D,74,0.521
8477500,2022,C,85,2.957
8477501,2022,R,55,2.2
8481596,2022,C,82,1.212
8477503,2022,C,99,2.12
8477504,2022,D,81,3.325
8477505,2022,C,96,1.131
8477506,2022,D,88,0.776
8477507,2022,D,82,0.559
8477508,2022,C,55,-0.083
8481601,2022,R,50,0.004
8481606,2022,D,6,0.06
8477511,2022,R,67,0.694
8481599,2022,D,30,0.147
8481609,2022,D,2,-0.03
8481604,2022,R,18,0.535
