pid,season,position,gp,war_indiv
8479496,2021,G,18,0
8471306,2021,G,31,0
8475413,2021,C,22,0.041
8479511,2021,C,57,0.247
8479512,2021,R,6,0.039
8479514,2021,C,66,1.222
8479516,2021,C,2,0.037
8479518,2021,C,3,0.043
8479520,2021,L,86,0.024
8479523,2021,D,40,0.317
8479525,2021,C,102,1.885
8479526,2021,L,8,0.053
8479534,2021,D,5,0.053
8479536,2021,L,23,-0.005
8479542,2021,L,100,1.837
8479543,2021,L,51,0.189
8479546,2021,C,20,0.099
8479550,2021,C,1,-0.007
8475455,2021,D,79,0.396
8479553,2021,C,44,0.43
8475461,2021,L,1,0
8475462,2021,D,87,0.431
8479573,2021,L,18,-0.105
8479578,2021,D,36,0.059
8479580,2021,C,63,-0.071
8479581,2021,G,2,0
8479587,2021,C,4,-0.036
8479591,2021,C,1,-0.004
8479597,2021,D,4,-0.024
8479602,2021,D,6,0.081
8471418,2021,G,9,0
8479619,2021,L,21,0.157
8481597,2021,G,1,0
8481598,2021,D,24,0.024
8479639,2021,D,59,0.426
8479644,2021,R,23,0.137
8479661,2021,L,85,1.066
8479671,2021,R,13,-0.127
8479675,2021,L,88,2.332
8479705,2021,L,34,-0.071
8475622,2021,G,3,0
8479718,2021,C,16,0.207
8475625,2021,D,17,0.169
8479729,2021,D,3,-0.004
8475660,2021,G,50,0
8479772,2021,R,75,-0.295
8475683,2021,G,64,0
8475690,2021,D,90,0.857
8475692,2021,R,76,3.412
8475714,2021,C,78,1.019
8475717,2021,G,3,0
8475718,2021,D,74,0.72
8475722,2021,L,46,0.607
8475726,2021,C,86,2.355
8475728,2021,L,49,0.672
8475735,2021,C,43,-0.195
8475744,2021,C,85,3.251
8475745,2021,C,89,1.546
8475747,2021,D,68,-0.095
8475750,2021,D,75,0.647
8475752,2021,C,39,-0.099
8475753,2021,D,88,2.253
8475754,2021,C,72,2.596
8475760,2021,C,57,0.402
8475762,2021,D,83,0.284
8475763,2021,R,48,1.127
8475764,2021,D,76,1.482
8471669,2021,C,71,1.842
8475765,2021,R,87,4.448
8475766,2021,L,67,0.037
8475768,2021,L,37,0.892
8471675,2021,C,75,3.61
8475772,2021,C,69,0.743
8471677,2021,D,87,-0.202
8471679,2021,G,5,0
8475780,2021,R,4,-0.012
8471685,2021,C,88,2.404
8471686,2021,D,71,0.328
8475784,2021,L,80,2.884
8475786,2021,L,92,3.483
8475789,2021,G,56,0
8475790,2021,D,90,0.489
8471695,2021,G,4,0
8475792,2021,R,9,-0.023
8475791,2021,L,88,2.677
8475793,2021,C,83,1.807
8471698,2021,R,50,0.914
8475794,2021,C,88,1.971
8475796,2021,D,68,0.047
8475797,2021,D,7,0.015
8475799,2021,R,89,1.956
8475798,2021,C,84,2.498
8471699,2021,C,90,0.076
8471707,2021,L,19,0.068
8471709,2021,D,75,0.239
8475809,2021,G,37,0
8475810,2021,R,67,3.378
8471724,2021,D,85,3.333
8475820,2021,R,75,0.309
8471729,2021,D,37,0.35
8475825,2021,D,87,0.199
8471734,2021,G,53,0
8471735,2021,D,77,0.526
8475831,2021,G,55,0
8479933,2021,C,40,0.24
8475839,2021,G,8,0
